df_index,stream,Zscore,district_rank,island_rank,al_year,sub1,sub1_r,sub2,sub2_r,sub3,sub3_r,cgt_r,ge_r,syllabus,birth_day,birth_month,birth_year,gender
62146,ARTS,1.6967,153 (NEW),2502,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,056,S,new,17,May,2001,female
62161,ARTS,1.6694,183 (NEW),2840,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,DANCING(INDIGENOUS),A,042,S,new,5,February,2001,female
62194,ARTS,1.3743,470 (NEW),7470,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,050,S,new,28,September,2001,female
62220,COMMERCE,1.6306,223 (NEW),2551,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,S,new,13,June,2001,male
62228,COMMERCE,1.4364,354 (NEW),4464,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,038,S,new,26,April,2001,female
62243,COMMERCE,1.5588,271 (NEW),3167,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,S,new,1,July,2001,female
62247,COMMERCE,1.6202,230 (NEW),2638,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,070,C,new,17,October,2001,female
62252,COMMERCE,1.5957,243 (NEW),2818,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,C,new,22,February,2001,male
62253,COMMERCE,1.5623,267 (NEW),3126,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,B,new,19,December,2001,female
62261,COMMERCE,1.4923,315 (NEW),3838,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,C,new,3,April,2001,female
62270,COMMERCE,1.4011,388 (NEW),4890,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,C,new,13,August,2001,female
62284,COMMERCE,1.6344,220 (NEW),2519,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,S,new,22,August,2001,female
62305,COMMERCE,1.5792,256 (NEW),2961,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,040,S,new,8,April,2001,female
62344,COMMERCE,1.5178,297 (NEW),3565,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,B,new,12,July,2001,female
62389,COMMERCE,1.4086,384 (NEW),4792,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,12,March,2000,female
62400,COMMERCE,1.5293,285 (NEW),3448,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,3,March,2000,female
62627,COMMERCE,1.5111,303 (NEW),3635,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,F,new,28,April,2001,female
62876,COMMERCE,1.5991,240 (NEW),2795,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,S,new,5,September,2000,male
63843,COMMERCE,1.449,346 (NEW),4303,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,C,new,13,November,2001,female
63852,COMMERCE,1.4991,310 (NEW),3773,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,F,new,27,March,2001,female
63854,COMMERCE,1.5764,259 (NEW),2991,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,S,new,23,January,2002,female
63859,COMMERCE,1.6074,235 (NEW),2728,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,076,F,new,8,May,2001,male
63997,COMMERCE,1.5916,244 (NEW),2854,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,S,new,6,August,2001,female
64119,COMMERCE,1.5344,284 (NEW),3404,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,C,new,19,April,2001,female
64159,COMMERCE,1.5909,246 (NEW),2861,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,044,S,new,17,February,2001,female
64199,ARTS,1.4628,367 (NEW),5771,2020,COMMUNICATION & MEDIA STUDIES,A,ORIENTAL MUSIC,A,SINHALA,A,042,F,new,18,September,2001,female
64215,ARTS,1.6703,177 (NEW),2825,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,Absent,Absent,new,17,January,2001,female
64306,COMMERCE,1.6117,232 (NEW),2692,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,S,new,30,December,2000,female
64346,ARTS,1.5159,304 (NEW),4842,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,042,S,new,26,December,2001,female
64394,COMMERCE,1.5715,263 (NEW),3044,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,F,new,4,December,2000,female
64715,COMMERCE,1.3733,404 (NEW),5209,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,F,new,1,March,2000,female
64749,COMMERCE,1.6015,238 (NEW),2769,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,S,new,22,October,2001,female
64764,COMMERCE,1.4621,337 (NEW),4155,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,S,new,24,December,2001,female
65136,ARTS,1.3835,460 (NEW),7250,2020,HISTORY OF SRI LANKA & INDIA,A,DANCING(INDIGENOUS),A,SINHALA,A,040,F,new,24,April,2001,female
65221,COMMERCE,1.5856,249 (NEW),2906,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,F,new,8,April,2001,female
65689,COMMERCE,1.5651,266 (NEW),3097,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,S,new,15,April,2001,female
65886,ARTS,1.5363,285 (NEW),4510,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,040,F,new,23,March,2001,female
65898,ARTS,1.3056,569 (NEW),9022,2020,HISTORY OF SRI LANKA & INDIA,A,ORIENTAL MUSIC,A,SINHALA,A,044,F,new,2,November,2001,male
65942,ARTS,1.696,155 (NEW),2512,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,052,F,new,14,May,2001,male
65947,ARTS,1.6326,203 (NEW),3262,2020,POLITICAL SCIENCE,A,ORIENTAL MUSIC,A,SINHALA,A,052,F,new,17,February,2001,male
65969,ARTS,1.6408,197 (NEW),3158,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,046,F,new,5,July,2001,male
66019,ARTS,1.6803,169 (NEW),2702,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,048,F,new,13,December,2001,female
66051,COMMERCE,1.4711,330 (NEW),4049,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,4,August,2000,female
66105,ARTS,1.649,191 (NEW),3055,2020,ECONOMICS,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,032,F,new,14,June,2001,female
66119,ARTS,1.6264,209 (NEW),3327,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,036,C,new,3,April,2001,female
66126,ARTS,1.3978,448 (NEW),6954,2020,HISTORY OF SRI LANKA & INDIA,A,DANCING(INDIGENOUS),A,SINHALA,A,058,S,new,13,September,2001,female
66133,COMMERCE,1.5741,261 (NEW),3019,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,Absent,new,14,May,2000,female
66399,ARTS,1.4313,409 (NEW),6362,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,032,F,new,20,November,2000,female
66509,COMMERCE,1.4308,362 (NEW),4521,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,F,new,31,May,2001,male
66537,ARTS,1.6702,179 (NEW),2828,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,022,F,new,24,January,2002,female
66542,ARTS,1.5641,255 (NEW),4112,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,036,F,new,25,May,2001,female
66592,COMMERCE,1.5987,241 (NEW),2797,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,C,new,9,June,2001,female
66746,ARTS,1.6276,208 (NEW),3314,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,034,C,new,29,March,2000,male
66771,ARTS,1.5478,274 (NEW),4320,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,Absent,Absent,new,4,May,2000,female
66823,COMMERCE,1.4855,320 (NEW),3911,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,046,S,new,22,April,2001,female
66872,COMMERCE,1.4497,344 (NEW),4292,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,S,new,2,August,2001,male
67419,ARTS,1.679,170 (NEW),2717,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,036,A,new,4,July,2001,female
67538,ARTS,1.6833,166 (NEW),2661,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,SINHALA,A,046,F,new,11,January,2002,female
67562,ARTS,1.5706,251 (NEW),4019,2020,ECONOMICS,A,HISTORY OF SRI LANKA & INDIA,A,DANCING(INDIGENOUS),A,052,F,new,20,June,2001,female
67721,COMMERCE,1.6261,225 (NEW),2591,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,062,F,new,21,October,2000,male
67836,COMMERCE,1.5725,262 (NEW),3033,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,17,November,2000,female
67842,COMMERCE,1.5527,274 (NEW),3228,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,9,June,2000,female
67858,COMMERCE,1.4371,353 (NEW),4454,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,30,January,2001,female
68023,ARTS,1.3459,514 (NEW),8100,2020,HISTORY OF SRI LANKA & INDIA,A,DANCING(INDIGENOUS),A,SINHALA,A,042,F,new,24,December,2001,female
68047,ARTS,1.56,263 (NEW),4169,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,044,Absent,new,25,April,2000,female
68075,COMMERCE,1.5589,270 (NEW),3165,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,F,new,5,November,2001,male
68115,COMMERCE,1.5897,247 (NEW),2870,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,F,new,27,April,2001,female
68742,ARTS,1.4907,334 (NEW),5275,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,030,F,new,8,December,2000,female
69311,ARTS,1.4857,341 (NEW),5352,2020,ECONOMICS,A,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,Absent,F,new,15,October,2000,female
69674,COMMERCE,1.6226,228 (NEW),2624,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,C,new,16,November,2001,female
69838,ARTS,1.334,528 (NEW),8366,2020,ECONOMICS,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,040,S,new,4,October,2001,female
70404,COMMERCE,1.5621,268 (NEW),3129,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,B,new,28,May,2001,female
70626,COMMERCE,1.4409,349 (NEW),4408,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,C,new,21,October,2001,female
70715,COMMERCE,1.5776,257 (NEW),2979,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,B,new,5,May,2001,female
70775,COMMERCE,1.5417,277 (NEW),3327,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,S,new,3,June,2001,male
71281,ARTS,1.4283,411 (NEW),6400,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,A,034,S,new,28,April,2001,female
71732,COMMERCE,1.5122,302 (NEW),3621,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,A,new,9,September,2001,male
71762,COMMERCE,1.6231,227 (NEW),2621,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,070,C,new,27,November,2001,male
71921,ARTS,1.4778,349 (NEW),5497,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,052,S,new,31,December,2001,male
71984,COMMERCE,1.4137,380 (NEW),4728,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,F,new,20,December,2001,female
71991,COMMERCE,1.4018,387 (NEW),4883,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,B,new,25,May,2001,female
72010,COMMERCE,1.525,291 (NEW),3494,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,C,new,9,October,2001,female
72014,COMMERCE,1.3613,410 (NEW),5366,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,040,C,new,13,June,2001,female
72111,COMMERCE,1.5355,283 (NEW),3398,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,070,B,new,8,August,2001,female
72122,COMMERCE,1.4143,378 (NEW),4723,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,F,new,22,July,2001,female
72133,COMMERCE,1.6049,236 (NEW),2751,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,C,new,29,November,2001,female
72142,ARTS,1.4691,359 (NEW),5654,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,032,F,new,19,February,2001,female
72175,ARTS,1.6478,192 (NEW),3069,2020,ECONOMICS,A,GEOGRAPHY,A,JAPANESE,A,044,C,new,7,August,2001,female
72218,COMMERCE,1.5794,254 (NEW),2956,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,S,new,22,September,2001,female
72257,COMMERCE,1.634,221 (NEW),2525,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,C,new,12,January,2002,female
73006,ARTS,1.5157,306 (NEW),4847,2020,GEOGRAPHY,A,ISLAM,A,ARABIC,A,048,C,new,24,July,2001,female
73360,ARTS,1.5834,246 (NEW),3863,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,030,F,new,29,October,2001,female
73444,ARTS,1.6443,196 (NEW),3122,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,SINHALA,A,042,S,new,17,May,2001,female
73497,COMMERCE,1.5846,251 (NEW),2914,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,066,F,new,23,November,2001,female
73531,ARTS,1.5292,291 (NEW),4636,2020,POLITICAL SCIENCE,A,ORIENTAL MUSIC,A,SINHALA,A,042,S,new,19,December,2001,female
73537,ARTS,1.5858,244 (NEW),3829,2020,HISTORY OF SRI LANKA & INDIA,A,DANCING(INDIGENOUS),A,SINHALA,A,054,C,new,1,August,2001,female
73603,COMMERCE,1.5203,295 (NEW),3537,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,F,new,28,November,2001,female
73662,COMMERCE,1.5884,248 (NEW),2882,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,13,December,2000,female
73728,COMMERCE,1.6222,229 (NEW),2626,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,S,new,19,September,2000,male
73910,COMMERCE,1.58,253 (NEW),2951,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,S,new,17,March,2000,female
73911,COMMERCE,1.5981,242 (NEW),2800,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,F,new,14,December,2001,female
73923,COMMERCE,1.5539,273 (NEW),3220,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,S,new,8,December,2001,female
73943,COMMERCE,1.4354,355 (NEW),4475,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,A,new,8,June,2001,female
74020,COMMERCE,1.469,331 (NEW),4075,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,F,new,4,November,2001,female
74060,ARTS,1.6476,193 (NEW),3076,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,COMMUNICATION & MEDIA STUDIES,A,050,S,new,9,September,2001,female
74108,ARTS,1.5625,259 (NEW),4134,2020,GEOGRAPHY,A,ISLAM,A,TAMIL,A,044,S,new,10,February,2001,female
74202,ARTS,1.6511,190 (NEW),3037,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,034,S,new,4,May,2001,female
74294,ARTS,1.4441,395 (NEW),6118,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,044,S,new,22,November,2001,male
74319,COMMERCE,1.54,279 (NEW),3345,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,S,new,24,December,2001,female
74443,ARTS,1.4228,422 (NEW),6505,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,Absent,Absent,new,21,November,2000,female
74510,COMMERCE,1.5993,239 (NEW),2789,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,S,new,9,August,2000,female
74618,COMMERCE,1.4148,377 (NEW),4717,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,S,new,27,September,2001,male
75078,ARTS,1.5253,294 (NEW),4699,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,028,F,new,8,June,2001,female
75848,ARTS,1.5044,316 (NEW),5024,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,044,F,new,17,August,2001,female
75886,ARTS,1.4786,347 (NEW),5480,2020,ECONOMICS,A,POLITICAL SCIENCE,A,ISLAM,A,060,C,new,13,June,2000,female
75907,ARTS,1.69,159 (NEW),2579,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,040,F,new,10,October,2001,female
76095,COMMERCE,1.4764,325 (NEW),3996,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,044,A,new,4,September,2000,female
76321,COMMERCE,1.6021,237 (NEW),2764,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,C,new,20,January,2002,female
76336,COMMERCE,1.6078,234 (NEW),2724,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,040,S,new,6,November,2001,female
76533,ARTS,1.6585,186 (NEW),2950,2020,POLITICAL SCIENCE,A,ISLAM,A,ARABIC,A,064,A,new,10,September,2001,male
76554,ARTS,1.6374,199 (NEW),3195,2020,GEOGRAPHY,A,ISLAM,A,ARABIC,A,048,B,new,14,November,2001,male
76590,ARTS,1.6243,213 (NEW),3350,2020,POLITICAL SCIENCE,A,ISLAM,A,ARABIC,A,062,A,new,24,September,2001,male
76600,ARTS,1.4435,396 (NEW),6130,2020,GEOGRAPHY,A,ISLAMIC CIVILIZATION,A,ARABIC,A,038,S,new,26,February,2001,male
77452,ARTS,1.6554,204 (NEW),2985,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,SINHALA,A,Absent,S,new,26,January,2001,female
77513,ARTS,1.5253,325 (NEW),4699,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,042,F,new,4,December,2000,female
77553,ARTS,1.5917,266 (NEW),3762,2020,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,SINHALA,A,042,S,new,24,June,2000,female
77859,COMMERCE,1.454,324 (NEW),4234,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,S,new,7,April,2000,female
78185,COMMERCE,1.6323,212 (NEW),2539,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,S,new,3,June,2001,female
78284,COMMERCE,1.6083,225 (NEW),2721,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,C,new,21,May,2001,female
78295,COMMERCE,1.4899,299 (NEW),3866,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,S,new,27,August,2001,female
78310,COMMERCE,1.5086,288 (NEW),3656,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,C,new,10,October,2001,female
78323,COMMERCE,1.5931,231 (NEW),2845,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,058,C,new,28,July,2001,female
78339,COMMERCE,1.5587,260 (NEW),3168,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,S,new,29,May,2001,female
78547,COMMERCE,1.5674,253 (NEW),3078,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,C,new,18,August,2000,female
78641,ARTS,1.54,316 (NEW),4442,2020,ECONOMICS,A,LOGIC & SCIENTIFIC METHOD,A,SINHALA,A,050,A,new,11,May,2000,female
78745,COMMERCE,1.5251,278 (NEW),3491,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,S,new,20,October,2001,male
78809,COMMERCE,1.573,247 (NEW),3025,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,B,new,17,December,2001,female
79610,ARTS,1.655,205 (NEW),2994,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,BUDDHIST CIVILIZATION,A,052,F,new,21,July,2000,female
79868,COMMERCE,1.4195,361 (NEW),4655,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,S,new,2,March,2001,male
79926,COMMERCE,1.5674,253 (NEW),3078,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,048,F,new,12,June,2001,male
80364,ARTS,1.6393,217 (NEW),3172,2020,GEOGRAPHY,A,ISLAM,A,TAMIL,A,040,B,new,21,November,2001,female
80757,COMMERCE,1.4951,296 (NEW),3818,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,C,new,19,June,2001,male
81188,ARTS,1.4498,410 (NEW),6005,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,A,050,C,new,28,April,2001,female
81280,COMMERCE,1.5907,233 (NEW),2863,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,5,August,2000,female
81286,COMMERCE,1.507,289 (NEW),3670,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,9,January,2001,female
81290,COMMERCE,1.6136,223 (NEW),2684,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,16,September,2000,female
81335,COMMERCE,1.6085,224 (NEW),2715,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,2,August,2000,female
81537,COMMERCE,1.5441,266 (NEW),3302,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,044,S,new,17,November,2001,female
81540,COMMERCE,1.5049,292 (NEW),3695,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,042,C,new,23,June,2001,female
81562,COMMERCE,1.4848,304 (NEW),3918,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,A,new,21,December,2000,female
81916,COMMERCE,1.4786,306 (NEW),3974,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,S,new,28,September,2001,female
82002,COMMERCE,1.5861,238 (NEW),2902,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,C,new,28,February,2001,female
82021,COMMERCE,1.5821,242 (NEW),2937,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,056,C,new,15,December,2001,female
82025,COMMERCE,1.4536,327 (NEW),4242,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,064,S,new,22,July,2001,female
82028,ARTS,1.6661,198 (NEW),2870,2020,ECONOMICS,A,GEOGRAPHY,A,SINHALA,A,048,C,new,27,August,2001,female
82043,ARTS,1.3067,620 (NEW),9000,2020,GEOGRAPHY,A,DANCING(INDIGENOUS),A,SINHALA,A,050,A,new,28,January,2002,female
82051,ARTS,1.6809,186 (NEW),2693,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,SINHALA,A,040,C,new,7,October,2001,female
82056,ARTS,1.6559,203 (NEW),2983,2020,GEOGRAPHY,A,DANCING(INDIGENOUS),A,SINHALA,A,040,F,new,29,December,2001,female
82111,ARTS,1.5602,297 (NEW),4166,2020,ECONOMICS,A,GEOGRAPHY,A,SINHALA,A,044,C,new,2,January,2002,female
82188,ARTS,1.5091,341 (NEW),4944,2020,ECONOMICS,A,LOGIC & SCIENTIFIC METHOD,A,SINHALA,A,Absent,S,new,16,November,2000,female
82306,ARTS,1.5291,322 (NEW),4640,2020,POLITICAL SCIENCE,A,ORIENTAL MUSIC,A,SINHALA,A,Absent,F,new,9,April,2000,female
82317,COMMERCE,1.5066,290 (NEW),3674,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,C,new,9,November,2000,female
82326,COMMERCE,1.5948,230 (NEW),2826,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,26,March,2000,female
82333,COMMERCE,1.503,293 (NEW),3724,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,Absent,new,16,October,2000,female
82562,ARTS,1.5638,293 (NEW),4116,2020,POLITICAL SCIENCE,A,LOGIC & SCIENTIFIC METHOD,A,SINHALA,A,Absent,B,new,11,March,2000,female
82957,COMMERCE,1.5895,236 (NEW),2873,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,C,new,17,January,2002,male
83042,COMMERCE,1.6141,221 (NEW),2679,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,070,Absent,new,29,September,2001,male
83047,COMMERCE,1.6192,218 (NEW),2642,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,052,B,new,13,March,2001,male
83354,COMMERCE,1.5531,262 (NEW),3225,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,054,B,new,13,April,2000,male
83554,COMMERCE,1.4865,301 (NEW),3901,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,060,S,new,21,July,2001,male
83656,COMMERCE,1.573,247 (NEW),3025,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,068,F,new,29,May,2001,male
83783,COMMERCE,1.589,237 (NEW),2879,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,050,S,new,20,September,2001,male
83928,COMMERCE,1.5299,277 (NEW),3443,2020,ECONOMICS,A,BUSINESS STUDIES,A,ACCOUNTING,A,Absent,B,new,31,July,2000,male
